borrower_id,provider,occupation,wallet_active_days_ratio_90d,wallet_txn_count_90d,wallet_txn_count_30d,wallet_days_since_last_txn,wallet_topup_count_90d,wallet_topup_avg_amount,wallet_topup_frequency_per_month,wallet_bill_payment_count_90d,wallet_bill_payment_share,wallet_distinct_billers_90d,wallet_avg_balance,wallet_inflow_outflow_ratio,wallet_txn_amount_volatility,default_label
PK000000,Easypaisa,delivery_rider,0.2,19,10,0,9,106.89,3.0,3,0.1579,1,-1271.39,0.0823,1764.99,1
PK000001,SadaPay,daily_wage_laborer,0.2333,25,11,2,13,94.53,4.33,4,0.16,2,-433.12,0.4496,1186.15,0
PK000002,JazzCash,small_shopkeeper,0.2222,23,4,6,8,85.72,2.67,4,0.1739,2,36.3,1.0356,1678.78,0
PK000003,JazzCash,street_vendor,0.3889,49,15,1,35,147.41,11.67,3,0.0612,1,-424.39,0.3789,1038.74,0
PK000004,Easypaisa,daily_wage_laborer,0.1778,19,5,4,10,94.73,3.33,1,0.0526,1,-1053.17,0.0532,1406.46,1
PK000005,JazzCash,rickshaw_driver,0.4444,54,12,0,36,163.96,12.0,1,0.0185,1,395.38,2.0478,1175.92,0
PK000006,SadaPay,street_vendor,0.4667,52,15,2,29,139.35,9.67,7,0.1346,3,-351.9,0.4941,1138.36,0
PK000007,SadaPay,delivery_rider,0.3111,31,9,1,14,117.6,4.67,6,0.1935,2,-331.82,0.6638,1523.2,0
PK000008,SadaPay,small_shopkeeper,0.3111,32,11,0,19,159.47,6.33,1,0.0312,1,-387.87,0.6203,1784.63,0
PK000009,Easypaisa,small_shopkeeper,0.3,30,11,0,8,104.75,2.67,9,0.3,3,-1469.07,0.2033,1594.0,0
PK000010,NayaPay,delivery_rider,0.2444,22,9,1,15,98.41,5.0,5,0.2273,3,-431.74,0.1345,814.35,1
PK000011,Easypaisa,street_vendor,0.3111,32,7,2,19,116.13,6.33,1,0.0312,1,-240.65,0.579,1001.54,0
PK000012,SadaPay,small_shopkeeper,0.2,21,5,4,8,99.68,2.67,5,0.2381,2,768.42,1.8487,2058.52,1
PK000013,Easypaisa,street_vendor,0.1222,13,5,3,9,106.87,3.0,1,0.0769,1,-79.07,0.7749,796.16,0
PK000014,NayaPay,rickshaw_driver,0.1667,17,2,21,10,91.12,3.33,4,0.2353,2,-472.66,0.2813,866.79,0
PK000015,SadaPay,small_shopkeeper,0.2889,29,11,0,14,143.31,4.67,1,0.0345,1,1148.65,3.0773,2155.08,0
PK000016,Easypaisa,domestic_worker,0.4333,47,15,5,27,164.07,9.0,3,0.0638,1,-332.98,0.4653,916.22,1
PK000017,SadaPay,delivery_rider,0.1667,16,7,2,6,58.55,2.0,0,0.0,0,575.65,2.1095,1262.42,0
PK000018,SadaPay,rickshaw_driver,0.4333,43,12,0,23,165.72,7.67,3,0.0698,2,180.04,1.3665,1178.38,0
PK000019,Easypaisa,small_shopkeeper,0.3222,37,11,5,17,105.0,5.67,4,0.1081,2,-2.39,0.9977,1558.09,0
PK000020,JazzCash,small_shopkeeper,0.1778,18,6,11,13,138.23,4.33,0,0.0,0,-353.62,0.4828,1353.2,1
PK000021,NayaPay,domestic_worker,0.3667,40,15,3,24,143.13,8.0,5,0.125,2,-636.71,0.2148,1138.48,0
PK000022,NayaPay,daily_wage_laborer,0.2222,23,7,1,7,55.65,2.33,8,0.3478,3,-33.78,0.9468,899.73,0
PK000023,Easypaisa,delivery_rider,0.3111,33,12,6,12,124.21,4.0,8,0.2424,3,-1060.78,0.296,1454.35,0
PK000024,NayaPay,delivery_rider,0.3778,47,15,1,29,177.87,9.67,2,0.0426,2,133.69,1.2103,1292.55,0
PK000025,NayaPay,delivery_rider,0.1333,13,3,8,5,79.18,1.67,1,0.0769,1,-665.9,0.4488,1578.52,0
PK000026,JazzCash,delivery_rider,0.3556,39,15,2,24,133.82,8.0,3,0.0769,1,-20.04,0.9722,1423.8,0
PK000027,SadaPay,daily_wage_laborer,0.4,39,12,1,19,163.45,6.33,3,0.0769,2,-126.28,0.8201,1347.4,0
PK000028,Easypaisa,domestic_worker,0.1556,17,6,5,13,124.61,4.33,1,0.0588,1,-23.65,0.9211,679.96,0
PK000029,NayaPay,daily_wage_laborer,0.3556,42,14,1,20,183.49,6.67,5,0.119,2,-397.95,0.5544,1283.52,0
PK000030,SadaPay,domestic_worker,0.1778,18,3,9,10,44.57,3.33,3,0.1667,1,-561.53,0.2077,1088.46,0
PK000031,JazzCash,small_shopkeeper,0.2333,25,9,2,11,99.34,3.67,6,0.24,2,-347.78,0.5772,1068.92,0
PK000032,SadaPay,delivery_rider,0.2889,27,9,6,16,170.83,5.33,4,0.1481,3,26.7,1.0489,1537.06,0
PK000033,Easypaisa,street_vendor,0.3111,36,11,0,19,113.73,6.33,4,0.1111,2,45.14,1.0631,1351.08,0
PK000034,NayaPay,street_vendor,0.1556,19,7,9,9,98.08,3.0,3,0.1579,2,4.51,1.0087,824.61,0
PK000035,NayaPay,street_vendor,0.1444,15,4,1,6,83.24,2.0,3,0.2,1,-1425.44,0.0262,1400.37,0
PK000036,JazzCash,delivery_rider,0.2444,26,9,4,13,104.82,4.33,2,0.0769,1,367.66,1.6286,1467.85,0
PK000037,NayaPay,rickshaw_driver,0.2556,27,11,0,8,167.15,2.67,4,0.1481,2,187.57,1.2205,1294.34,0
PK000038,SadaPay,small_shopkeeper,0.3556,42,18,3,18,181.99,6.0,8,0.1905,3,-496.28,0.5934,1581.4,0
PK000039,JazzCash,street_vendor,0.2222,24,10,0,8,88.85,2.67,3,0.125,2,-494.38,0.4538,1222.68,0
PK000040,SadaPay,street_vendor,0.3,33,13,2,23,141.08,7.67,3,0.0909,1,-525.36,0.266,1076.93,0
PK000041,SadaPay,delivery_rider,0.2333,26,7,6,17,118.8,5.67,5,0.1923,2,-120.53,0.8036,1136.88,0
PK000042,JazzCash,street_vendor,0.3556,42,12,1,23,190.41,7.67,8,0.1905,3,-445.2,0.4815,1249.42,0
PK000043,SadaPay,daily_wage_laborer,0.2556,26,6,3,17,120.24,5.67,3,0.1154,2,-89.35,0.8071,1063.42,0
PK000044,Easypaisa,domestic_worker,0.3556,39,18,1,22,141.45,7.33,3,0.0769,2,197.76,1.4977,893.22,0
PK000045,SadaPay,rickshaw_driver,0.3333,36,11,0,19,149.99,6.33,3,0.0833,2,34.55,1.0525,1301.69,0
PK000046,Easypaisa,rickshaw_driver,0.1556,14,4,1,6,90.03,2.0,5,0.3571,2,-209.96,0.7664,1477.48,1
PK000047,Easypaisa,small_shopkeeper,0.2778,33,10,0,20,143.74,6.67,4,0.1212,3,504.24,1.8772,1865.43,0
PK000048,JazzCash,delivery_rider,0.2444,26,7,3,21,155.18,7.0,0,0.0,0,52.32,1.1689,1001.82,0
PK000049,NayaPay,rickshaw_driver,0.3111,34,11,1,21,123.63,7.0,3,0.0882,2,-8.81,0.983,1051.76,0
PK000050,NayaPay,daily_wage_laborer,0.3,29,7,6,14,142.94,4.67,2,0.069,1,274.65,1.6035,1104.39,0
PK000051,Easypaisa,street_vendor,0.4111,44,7,5,21,142.28,7.0,3,0.0682,2,-375.12,0.5004,1053.17,0
PK000052,SadaPay,rickshaw_driver,0.3556,37,18,0,18,112.47,6.0,1,0.027,1,66.95,1.1087,1185.67,0
PK000053,NayaPay,small_shopkeeper,0.2556,26,10,0,10,147.66,3.33,3,0.1154,1,255.57,1.3032,1691.19,0
PK000054,Easypaisa,delivery_rider,0.3222,34,10,0,19,166.23,6.33,4,0.1176,2,207.22,1.4062,1158.63,1
PK000055,JazzCash,daily_wage_laborer,0.3556,37,13,0,13,74.82,4.33,5,0.1351,2,-450.28,0.5002,1152.05,0
PK000056,JazzCash,rickshaw_driver,0.2556,24,5,10,16,121.9,5.33,4,0.1667,2,-158.27,0.65,946.52,0
PK000057,JazzCash,street_vendor,0.4111,46,16,0,24,164.13,8.0,9,0.1957,3,-510.0,0.4465,1251.32,0
PK000058,NayaPay,daily_wage_laborer,0.2889,35,10,2,17,130.91,5.67,7,0.2,3,-680.48,0.3864,1299.64,0
PK000059,JazzCash,small_shopkeeper,0.2667,28,11,5,16,99.56,5.33,2,0.0714,2,603.95,2.3621,1719.29,0
PK000060,Easypaisa,delivery_rider,0.2556,29,8,0,16,126.51,5.33,4,0.1379,2,-388.91,0.5698,1326.7,0
PK000061,NayaPay,daily_wage_laborer,0.2667,28,11,3,11,92.62,3.67,4,0.1429,2,-927.77,0.2029,1210.38,0
PK000062,SadaPay,street_vendor,0.1778,19,6,2,4,58.66,1.33,4,0.2105,2,-931.26,0.2974,1215.64,0
PK000063,SadaPay,small_shopkeeper,0.2333,23,5,16,11,100.22,3.67,3,0.1304,2,-1529.54,0.0332,1744.19,1
PK000064,NayaPay,delivery_rider,0.2444,26,4,4,15,97.69,5.0,1,0.0385,1,196.08,1.3407,1334.88,0
PK000065,JazzCash,small_shopkeeper,0.4333,52,18,0,35,177.24,11.67,4,0.0769,2,453.8,1.8894,1526.21,0
PK000066,NayaPay,small_shopkeeper,0.3111,29,6,11,14,136.22,4.67,6,0.2069,2,-997.81,0.1408,1280.23,0
PK000067,JazzCash,daily_wage_laborer,0.3111,32,11,0,19,133.89,6.33,4,0.125,2,-495.36,0.3135,955.37,0
PK000068,Easypaisa,delivery_rider,0.2778,29,11,11,13,111.89,4.33,8,0.2759,3,-437.88,0.5319,1208.92,0
PK000069,Easypaisa,delivery_rider,0.3444,35,10,2,19,160.03,6.33,5,0.1429,2,-584.39,0.449,1481.3,0
PK000070,NayaPay,daily_wage_laborer,0.3778,43,16,1,19,122.43,6.33,3,0.0698,2,85.19,1.134,1035.33,0
PK000071,SadaPay,domestic_worker,0.2778,35,10,1,14,162.82,4.67,1,0.0286,1,44.67,1.0732,735.14,0
PK000072,SadaPay,street_vendor,0.3111,34,14,2,8,121.7,2.67,6,0.1765,3,-303.72,0.6829,1110.69,0
PK000073,JazzCash,rickshaw_driver,0.3444,38,13,2,22,120.14,7.33,2,0.0526,1,-122.16,0.8133,1146.44,0
PK000074,JazzCash,daily_wage_laborer,0.4222,47,19,1,29,182.51,9.67,3,0.0638,2,473.29,2.9703,891.31,0
PK000075,NayaPay,rickshaw_driver,0.2333,27,6,14,12,111.43,4.0,2,0.0741,1,-98.83,0.8662,1026.91,0
PK000076,NayaPay,delivery_rider,0.3222,33,14,3,11,142.31,3.67,4,0.1212,2,-34.34,0.9608,1226.1,0
